Year,Basic Service,Value
2014,water,98.7
2014,sanitation,93.5
2014,Refuse disposal,92.2
2014,Energy source,98.3
2015,water,96.3
2015,sanitation,91.8
2015,Refuse disposal,94.6
2015,Energy source,96.7
2016,water,95.7
2016,sanitation,92.4
2016,Refuse disposal,96.5
2016,Energy source,91.7
2017,water,95.4
2017,sanitation,92
2017,Refuse disposal,96.5
2017,Energy source,91.7
2018,water,96.1
2018,sanitation,92.4
2018,Refuse disposal,95.5
2018,Energy source,93.3
2019,water,98.9
2019,sanitation,95.5
2019,Refuse disposal,95.3
2019,Energy source,88.7
