Year,Units,Value
2014,Per capita real GDP growth rate,
2015,Per capita real GDP growth rate,-0.6
2016,Per capita real GDP growth rate,-0.7
2017,Per capita real GDP growth rate,-1
2018,Per capita real GDP growth rate,-0.9
2019,Per capita real GDP growth rate,-1.6
2014,Total Amount of GDP per Capita ,74623
2015,Total Amount of GDP per Capita ,74170
2016,Total Amount of GDP per Capita ,73662
2017,Total Amount of GDP per Capita ,72935
2018,Total Amount of GDP per Capita ,72279
2019,Total Amount of GDP per Capita ,71142
