Year,Passenger Movement by Air,Freight Volumes,Units,Value
2015,Total Passenger Movement by Air,,Total Number of Passengers,9207375
2015,Growth Rate of Passengers movement by Air,,Percent of Growth Rate of Passengers,0
2015,,Total TEUs Handled,Total Number of Handled TEUs),909253
2015,,Growth Rate of Freight Volumes (TEUs),Percent of Growth Rate of TEUs,0
2016,Total Passenger Movement by Air,,Total Number of Passengers,10090418
2016,Growth Rate of Passengers movement by Air,,Percent of Growth Rate of Passengers,7.3
2016,,Total TEUs Handled,Total Number of Handled TEUs),926611
2016,,Growth Rate of Freight Volumes (TEUs),Percent of Growth Rate of TEUs,2
2017,Total Passenger Movement by Air,,Total Number of Passengers,10693063
2017,Growth Rate of Passengers movement by Air,,Percent of Growth Rate of Passengers,6
2017,,Total TEUs Handled,Total Number of Handled TEUs),881913
2017,,Growth Rate of Freight Volumes (TEUs),Percent of Growth Rate of TEUs,-5
2018,Total Passenger Movement by Air,,Total Number of Passengers,10777524
2018,Growth Rate of Passengers movement by Air,,Percent of Growth Rate of Passengers,0.8
2018,,Total TEUs Handled,Total Number of Handled TEUs),898147
2018,,Growth Rate of Freight Volumes (TEUs),Percent of Growth Rate of TEUs,2
2019,Total Passenger Movement by Air,,Total Number of Passengers,10979946
2019,Growth Rate of Passengers movement by Air,,Percent of Growth Rate of Passengers,1.9
2019,,Total TEUs Handled,Total Number of Handled TEUs),886095
2019,,Growth Rate of Freight Volumes (TEUs),Percent of Growth Rate of TEUs,-1
2020,Total Passenger Movement by Air,,Total Number of Passengers,4012204
2020,Growth Rate of Passengers movement by Air,,Percent of Growth Rate of Passengers,-63.5
2020,,Total TEUs Handled,Total Number of Handled TEUs),701060
2020,,Growth Rate of Freight Volumes (TEUs),Percent of Growth Rate of TEUs,-20.9
