Year,Value,Units
2013,6167.0,Total Gross Valu Add in Rands
2013,2.0,Percent of Total GVA
2013,42783.0,Total of Tourism Employment
2013,3.5,Percent of Total Tourism employment
2014,6397.0,Total Gross Valu Add in Rands
2014,2.0,Percent of Total GVA
2014,41947.0,Total of Tourism Employment
2014,3.3,Percent of Total Tourism employment
2015,5721.0,Total Gross Valu Add in Rands
2015,1.8,Percent of Total GVA
2015,38291.0,Total of Tourism Employment
2015,3.0,Percent of Total Tourism employment
2016,6419.0,Total Gross Valu Add in Rands
2016,1.9,Percent of Total GVA
2016,32128.0,Total of Tourism Employment
2016,2.5,Percent of Total Tourism employment
2017,5527.0,Total Gross Valu Add in Rands
2017,1.6,Percent of Total GVA
2017,34750.0,Total of Tourism Employment
2017,2.6,Percent of Total Tourism employment
2018,6977.0,Total Gross Valu Add in Rands
2018,2.0,Percent of Total GVA
2018,43566.0,Total of Tourism Employment
2018,3.2,Percent of Total Tourism employment
